subject,trial,slotchoice,reward,ExpectedValue,RPE
4018,1,3,-3,0.000000,-3.000000
4018,2,2,-3,0.000000,-3.000000
4018,3,1,1,0.000000,1.000000
4018,4,2,-3,-0.937424,-2.062576
4018,5,3,-1,-0.937424,-0.062576
4018,6,3,-1,-0.956977,-0.043023
4018,7,1,1,0.312475,0.687525
4018,8,1,1,0.527309,0.472691
4018,9,2,-3,-1.581926,-1.418074
4018,10,3,-1,-0.970421,-0.029579
4018,11,3,-1,-0.979663,-0.020337
4018,12,3,-1,-0.986018,-0.013982
4018,13,1,1,0.675013,0.324987
4018,14,3,-1,-0.990387,-0.009613
4018,15,3,-1,-0.993391,-0.006609
4018,16,3,-1,-0.995456,-0.004544
4018,17,1,-1,0.776563,-1.776563
4018,18,1,1,0.221432,0.778568
4018,19,1,1,0.464715,0.535285
4018,20,3,-1,-0.996876,-0.003124
4018,21,3,-1,-0.997852,-0.002148
4018,22,3,-1,-0.998523,-0.001477
4018,23,3,-1,-0.998985,-0.001015
4018,24,3,-1,-0.999302,-0.000698
4018,25,1,1,0.631978,0.368022
4018,26,3,1,-0.999520,1.999520
4018,27,1,1,0.746975,0.253025
4018,28,1,1,0.826039,0.173961
4018,29,3,-3,-0.374721,-2.625279
4018,30,3,-1,-1.195054,0.195054
4018,31,1,1,0.880398,0.119602
4018,32,3,-1,-1.134104,0.134104
4018,33,1,-1,0.917770,-1.917770
4018,34,3,-1,-1.092200,0.092200
4018,35,1,1,0.318516,0.681484
4018,36,3,-1,-1.063390,0.063390
4018,37,3,-1,-1.043582,0.043582
4018,38,3,-1,-1.029964,0.029964
4018,39,1,1,0.531462,0.468538
4018,40,3,-1,-1.020601,0.020601
4018,41,3,-1,-1.014164,0.014164
4018,42,3,1,-1.009738,2.009738
4018,43,3,-3,-0.381746,-2.618254
4018,44,1,1,0.677868,0.322132
4018,45,1,1,0.778526,0.221474
4018,46,1,1,0.847731,0.152269
4018,47,1,-1,0.895311,-1.895311
4018,48,3,-1,-1.199884,0.199884
4018,49,1,1,0.303075,0.696925
4018,50,1,1,0.520846,0.479154
4018,51,3,-1,-1.137425,0.137425
4018,52,3,-1,-1.094483,0.094483
4018,53,1,-1,0.670570,-1.670570
4018,54,3,-1,-1.064960,0.064960
4018,55,3,-1,-1.044661,0.044661
4018,56,1,1,0.148559,0.851441
4018,57,1,1,0.414613,0.585387
4018,58,1,1,0.597531,0.402469
4018,59,1,1,0.723293,0.276707
4018,60,3,-1,-1.030706,0.030706
4018,61,1,1,0.809757,0.190243
4018,62,1,1,0.869203,0.130797
4018,63,1,1,0.910074,0.089926
4018,64,3,-1,-1.021111,0.021111
4018,65,3,-3,-1.014514,-1.985486
4018,66,1,1,0.938173,0.061827
4018,67,1,1,0.957493,0.042507
4018,68,1,-1,0.970775,-1.970775
4018,69,1,1,0.354958,0.645042
4018,70,1,1,0.556517,0.443483
4018,71,3,-1,-1.634928,0.634928
4018,72,3,-1,-1.436529,0.436529
4018,73,1,1,0.695094,0.304906
4018,74,3,-1,-1.300125,0.300125
4018,75,3,-1,-1.206344,0.206344
4018,76,1,1,0.790370,0.209630
4018,77,3,1,-1.141866,2.141866
4018,78,1,1,0.855874,0.144126
4018,79,3,-1,-0.472588,-0.527412
4018,80,3,-1,-0.637391,-0.362609
4018,81,1,1,0.900910,0.099090
4018,82,1,1,0.931873,0.068127
4018,83,1,1,0.953161,0.046839
4018,84,3,-1,-0.750697,-0.249303
4018,85,3,-1,-0.828598,-0.171402
4018,86,3,-1,-0.882157,-0.117843
4018,87,3,-1,-0.918980,-0.081020
4018,88,1,-1,0.967797,-1.967797
4018,89,1,-1,0.352910,-1.352910
4018,90,1,1,-0.069840,1.069840
4018,91,3,-1,-0.944296,-0.055704
4018,92,1,1,0.264458,0.735542
4018,93,1,1,0.494296,0.505704
4018,94,1,1,0.652316,0.347684
4018,95,1,1,0.760958,0.239042
4018,96,3,-3,-0.961702,-2.038298
4018,97,1,-1,0.835653,-1.835653
4018,98,3,-1,-1.598619,0.598619
4018,99,3,-1,-1.411565,0.411565
4018,100,1,-1,0.262058,-1.262058
