subject,trial,slotchoice,reward,ExpectedValue,RPE
3033,1,3,0,0.000000,0.000000
3033,2,3,0,0.000000,0.000000
3033,3,1,1,0.000000,1.000000
3033,4,1,1,0.203495,0.796505
3033,5,3,0,0.000000,0.000000
3033,6,3,0,0.000000,0.000000
3033,7,3,0,0.000000,0.000000
3033,8,3,0,0.000000,0.000000
3033,9,1,1,0.365580,0.634420
3033,10,1,1,0.494681,0.505319
3033,11,3,0,0.000000,0.000000
3033,12,1,1,0.597511,0.402489
3033,13,1,1,0.679415,0.320585
3033,14,1,1,0.744653,0.255347
3033,15,3,-1,0.000000,-1.000000
3033,16,1,1,0.796615,0.203385
3033,17,1,1,0.838003,0.161997
3033,18,1,1,0.870968,0.129032
3033,19,1,1,0.897226,0.102774
3033,20,1,0,0.918140,-0.918140
3033,21,3,0,-0.203495,0.203495
3033,22,1,1,0.731303,0.268697
3033,23,3,0,-0.162085,0.162085
3033,24,1,0,0.785981,-0.785981
3033,25,3,0,-0.129101,0.129101
3033,26,3,0,-0.102830,0.102830
3033,27,3,0,-0.081905,0.081905
3033,28,3,-1,-0.065237,-0.934763
3033,29,1,1,0.626038,0.373962
3033,30,3,1,-0.255457,1.255457
3033,31,1,1,0.702137,0.297863
3033,32,3,-1,0.000022,-1.000022
3033,33,1,1,0.762751,0.237249
3033,34,3,0,-0.203477,0.203477
3033,35,1,0,0.811030,-0.811030
3033,36,1,0,0.645989,-0.645989
3033,37,3,0,-0.162071,0.162071
3033,38,3,0,-0.129090,0.129090
3033,39,3,0,-0.102821,0.102821
3033,40,3,0,-0.081897,0.081897
3033,41,1,1,0.514534,0.485466
3033,42,3,-1,-0.065232,-0.934768
3033,43,1,1,0.613324,0.386676
3033,44,1,1,0.692010,0.307990
3033,45,1,1,0.754685,0.245315
3033,46,3,0,-0.255452,0.255452
3033,47,3,0,-0.203469,0.203469
3033,48,1,1,0.804605,0.195395
3033,49,1,1,0.844367,0.155633
3033,50,1,1,0.876038,0.123962
3033,51,1,0,0.901263,-0.901263
3033,52,1,1,0.717861,0.282139
3033,53,1,1,0.775275,0.224725
3033,54,3,1,-0.162064,1.162064
3033,55,1,1,0.821005,0.178995
3033,56,3,0,0.074410,-0.074410
3033,57,3,0,0.059268,-0.059268
3033,58,3,0,0.047207,-0.047207
3033,59,1,1,0.857430,0.142570
3033,60,1,0,0.886442,-0.886442
3033,61,3,0,0.037601,-0.037601
3033,62,1,1,0.706056,0.293944
3033,63,3,0,0.029949,-0.029949
3033,64,1,0,0.765872,-0.765872
3033,65,3,0,0.023855,-0.023855
3033,66,3,0,0.019000,-0.019000
3033,67,3,0,0.015134,-0.015134
3033,68,3,0,0.012054,-0.012054
3033,69,1,1,0.610021,0.389979
3033,70,3,1,0.009601,0.990399
3033,71,3,0,0.211142,-0.211142
3033,72,3,0,0.168176,-0.168176
3033,73,3,-1,0.133953,-1.133953
3033,74,3,0,-0.096801,0.096801
3033,75,1,1,0.689380,0.310620
3033,76,1,1,0.752589,0.247411
3033,77,1,1,0.802936,0.197064
3033,78,1,1,0.843038,0.156962
3033,79,1,0,0.874979,-0.874979
3033,80,3,0,-0.077102,0.077102
3033,81,1,0,0.696925,-0.696925
3033,82,3,0,-0.061412,0.061412
3033,83,1,1,0.555104,0.444896
3033,84,1,1,0.645638,0.354362
3033,85,3,0,-0.048915,0.048915
3033,86,1,1,0.717749,0.282251
3033,87,3,0,-0.038961,0.038961
3033,88,3,0,-0.031033,0.031033
3033,89,1,1,0.775186,0.224814
3033,90,3,0,-0.024718,0.024718
3033,91,3,-1,-0.019688,-0.980312
3033,92,3,0,-0.219176,0.219176
3033,93,3,1,-0.174575,1.174575
3033,94,1,1,0.820934,0.179066
3033,95,3,0,0.064445,-0.064445
3033,96,1,1,0.857373,0.142627
3033,97,3,0,0.051331,-0.051331
3033,98,1,1,0.886397,0.113603
3033,99,1,0,0.909515,-0.909515
3033,100,1,1,0.724433,0.275567
