subject,trial,slotchoice,reward,ExpectedValue,RPE
4008,1,3,1,0.000000,1.000000
4008,2,3,0,0.009676,-0.009676
4008,3,3,0,0.009582,-0.009582
4008,4,1,1,0.000000,1.000000
4008,5,3,0,0.009490,-0.009490
4008,6,3,0,0.009398,-0.009398
4008,7,1,1,0.009676,0.990324
4008,8,1,1,0.019258,0.980742
4008,9,1,0,0.028748,-0.028748
4008,10,1,1,0.028470,0.971530
4008,11,3,0,0.009307,-0.009307
4008,12,3,-1,0.009217,-1.009217
4008,13,3,0,-0.000548,0.000548
4008,14,1,0,0.037870,-0.037870
4008,15,3,1,-0.000543,1.000543
4008,16,3,0,0.009138,-0.009138
4008,17,1,1,0.037504,0.962496
4008,18,1,0,0.046817,-0.046817
4008,19,1,1,0.046364,0.953636
4008,20,1,1,0.055591,0.944409
4008,21,3,-1,0.009050,-1.009050
4008,22,1,1,0.064730,0.935270
4008,23,1,1,0.073779,0.926221
4008,24,3,0,-0.000714,0.000714
4008,25,3,1,-0.000707,1.000707
4008,26,3,-1,0.008976,-1.008976
4008,27,3,0,-0.000787,0.000787
4008,28,1,1,0.082741,0.917259
4008,29,3,0,-0.000779,0.000779
4008,30,3,0,-0.000772,0.000772
4008,31,1,0,0.091617,-0.091617
4008,32,3,0,-0.000764,0.000764
4008,33,3,0,-0.000757,0.000757
4008,34,3,0,-0.000750,0.000750
4008,35,1,1,0.090730,0.909270
4008,36,1,1,0.099528,0.900472
4008,37,1,1,0.108241,0.891759
4008,38,3,0,-0.000742,0.000742
4008,39,1,1,0.116870,0.883130
4008,40,1,1,0.125415,0.874585
4008,41,3,1,-0.000735,1.000735
4008,42,1,1,0.133878,0.866122
4008,43,3,0,0.008948,-0.008948
4008,44,3,-1,0.008861,-1.008861
4008,45,1,1,0.142258,0.857742
4008,46,1,1,0.150558,0.849442
4008,47,1,1,0.158777,0.841223
4008,48,3,0,-0.000900,0.000900
4008,49,3,-1,-0.000892,-0.999108
4008,50,3,0,-0.010559,0.010559
4008,51,1,1,0.166917,0.833083
4008,52,3,0,-0.010457,0.010457
4008,53,1,1,0.174978,0.825022
4008,54,1,1,0.182960,0.817040
4008,55,3,0,-0.010356,0.010356
4008,56,1,0,0.190866,-0.190866
4008,57,1,0,0.189019,-0.189019
4008,58,1,1,0.187190,0.812810
4008,59,3,0,-0.010255,0.010255
4008,60,3,0,-0.010156,0.010156
4008,61,3,0,-0.010058,0.010058
4008,62,1,1,0.195055,0.804945
4008,63,3,0,-0.009961,0.009961
4008,64,3,1,-0.009864,1.009864
4008,65,3,0,-0.000093,0.000093
4008,66,3,0,-0.000092,0.000092
4008,67,3,0,-0.000091,0.000091
4008,68,3,1,-0.000090,1.000090
4008,69,3,0,0.009587,-0.009587
4008,70,3,0,0.009494,-0.009494
4008,71,3,-1,0.009402,-1.009402
4008,72,1,1,0.202844,0.797156
4008,73,3,0,-0.000365,0.000365
4008,74,1,1,0.210557,0.789443
4008,75,3,0,-0.000361,0.000361
4008,76,1,1,0.218196,0.781804
4008,77,1,1,0.225760,0.774240
4008,78,1,1,0.233252,0.766748
4008,79,3,0,-0.000358,0.000358
4008,80,1,0,0.240671,-0.240671
4008,81,1,1,0.238342,0.761658
4008,82,3,0,-0.000354,0.000354
4008,83,3,0,-0.000351,0.000351
4008,84,3,-1,-0.000348,-0.999652
4008,85,1,1,0.245712,0.754288
4008,86,1,1,0.253011,0.746989
4008,87,3,0,-0.010020,0.010020
4008,88,1,1,0.260238,0.739762
4008,89,3,0,-0.009923,0.009923
4008,90,1,0,0.267396,-0.267396
4008,91,3,1,-0.009827,1.009827
4008,92,3,0,-0.000056,0.000056
4008,93,1,1,0.264809,0.735191
4008,94,1,1,0.271923,0.728077
4008,95,1,1,0.278968,0.721032
4008,96,1,1,0.285944,0.714056
4008,97,3,0,-0.000056,0.000056
4008,98,1,1,0.292854,0.707146
4008,99,1,0,0.299696,-0.299696
4008,100,3,0,-0.000055,0.000055
