subject,trial,slotchoice,reward,ExpectedValue,RPE
3001,1,1,1,0.000000,1.000000
3001,2,1,0,0.251602,-0.251602
3001,3,1,1,0.188298,0.811702
3001,4,3,1,0.000000,1.000000
3001,5,3,0,0.251602,-0.251602
3001,6,3,0,0.188298,-0.188298
3001,7,3,0,0.140922,-0.140922
3001,8,3,0,0.105466,-0.105466
3001,9,1,1,0.392524,0.607476
3001,10,1,1,0.545366,0.454634
3001,11,1,1,0.659753,0.340247
3001,12,3,0,0.078930,-0.078930
3001,13,1,1,0.745360,0.254640
3001,14,1,1,0.809428,0.190572
3001,15,3,0,0.059071,-0.059071
3001,16,-99,-99,-99.000000,-99.000000
3001,17,3,0,0.044209,-0.044209
3001,18,1,1,0.857376,0.142624
3001,19,3,1,0.033086,0.966914
3001,20,3,0,0.276363,-0.276363
3001,21,1,1,0.893261,0.106739
3001,22,1,0,0.920117,-0.920117
3001,23,3,0,0.206830,-0.206830
3001,24,1,1,0.688613,0.311387
3001,25,1,0,0.766959,-0.766959
3001,26,1,0,0.573990,-0.573990
3001,27,3,0,0.154791,-0.154791
3001,28,3,-1,0.115845,-1.115845
3001,29,3,0,-0.164904,0.164904
3001,30,3,0,-0.123414,0.123414
3001,31,1,1,0.429573,0.570427
3001,32,3,0,-0.092362,0.092362
3001,33,3,0,-0.069124,0.069124
3001,34,1,1,0.573094,0.426906
3001,35,1,1,0.680504,0.319496
3001,36,-99,-99,-99.000000,-99.000000
3001,37,3,0,-0.051732,0.051732
3001,38,1,1,0.760890,0.239110
3001,39,3,0,-0.038716,0.038716
3001,40,1,1,0.821051,0.178949
3001,41,3,-1,-0.028975,-0.971025
3001,42,3,0,-0.273287,0.273287
3001,43,-99,-99,-99.000000,-99.000000
3001,44,1,1,0.866075,0.133925
3001,45,2,-1,0.000000,-1.000000
3001,46,3,1,-0.204527,1.204527
3001,47,3,0,0.098534,-0.098534
3001,48,3,0,0.073743,-0.073743
3001,49,1,1,0.899771,0.100229
3001,50,1,1,0.924988,0.075012
3001,51,1,1,0.943862,0.056138
3001,52,1,1,0.957986,0.042014
3001,53,3,0,0.055189,-0.055189
3001,54,-99,-99,-99.000000,-99.000000
3001,55,3,0,0.041303,-0.041303
3001,56,3,0,0.030911,-0.030911
3001,57,3,1,0.023134,0.976866
3001,58,1,1,0.968557,0.031443
3001,59,2,-1,-0.251602,-0.748398
3001,60,1,1,0.976468,0.023532
3001,61,1,0,0.982389,-0.982389
3001,62,3,0,0.268915,-0.268915
3001,63,1,1,0.735218,0.264782
3001,64,1,1,0.801837,0.198163
3001,65,1,1,0.851696,0.148304
3001,66,1,1,0.889009,0.110991
3001,67,-99,-99,-99.000000,-99.000000
3001,68,1,0,0.916935,-0.916935
3001,69,-99,-99,-99.000000,-99.000000
3001,70,3,0,0.201256,-0.201256
3001,71,1,1,0.686232,0.313768
3001,72,1,0,0.765177,-0.765177
3001,73,1,1,0.572657,0.427343
3001,74,1,0,0.680177,-0.680177
3001,75,3,0,0.150619,-0.150619
3001,76,3,0,0.112723,-0.112723
3001,77,1,1,0.509043,0.490957
3001,78,1,1,0.632569,0.367431
3001,79,-99,-99,-99.000000,-99.000000
3001,80,2,-1,-0.439901,-0.560099
3001,81,1,1,0.725015,0.274985
3001,82,3,0,0.084362,-0.084362
3001,83,1,1,0.794202,0.205798
3001,84,1,1,0.845981,0.154019
3001,85,3,0,0.063136,-0.063136
3001,86,3,0,0.047251,-0.047251
3001,87,3,-1,0.035363,-1.035363
3001,88,1,1,0.884733,0.115267
3001,89,1,1,0.913734,0.086266
3001,90,3,0,-0.225137,0.225137
3001,91,1,1,0.935439,0.064561
3001,92,-99,-99,-99.000000,-99.000000
3001,93,1,1,0.951683,0.048317
3001,94,1,1,0.963839,0.036161
3001,95,3,1,-0.168492,1.168492
3001,96,3,0,0.125503,-0.125503
3001,97,-99,-99,-99.000000,-99.000000
3001,98,-99,-99,-99.000000,-99.000000
3001,99,1,0,0.972937,-0.972937
3001,100,3,0,0.093926,-0.093926
