subject,trial,slotchoice,reward,ExpectedValue,RPE
3021,1,2,-1,0.000000,-1.000000
3021,2,3,0,0.000000,0.000000
3021,3,3,0,0.000000,0.000000
3021,4,3,0,0.000000,0.000000
3021,5,3,0,0.000000,0.000000
3021,6,3,0,0.000000,0.000000
3021,7,3,0,0.000000,0.000000
3021,8,3,-1,0.000000,-1.000000
3021,9,1,1,0.000000,1.000000
3021,10,1,0,0.251602,-0.251602
3021,11,3,0,-0.251602,0.251602
3021,12,1,1,0.188298,0.811702
3021,13,3,0,-0.188298,0.188298
3021,14,3,0,-0.140922,0.140922
3021,15,3,0,-0.105466,0.105466
3021,16,3,0,-0.078930,0.078930
3021,17,3,0,-0.059071,0.059071
3021,18,3,0,-0.044209,0.044209
3021,19,3,0,-0.033086,0.033086
3021,20,1,1,0.392524,0.607476
3021,21,1,0,0.545366,-0.545366
3021,22,3,0,-0.024761,0.024761
3021,23,3,1,-0.018531,1.018531
3021,24,1,0,0.408151,-0.408151
3021,25,3,0,0.237733,-0.237733
3021,26,1,1,0.305459,0.694541
3021,27,3,-1,0.177919,-1.177919
3021,28,1,1,0.480207,0.519793
3021,29,1,1,0.610988,0.389012
3021,30,-99,-99,-99.000000,-99.000000
3021,31,3,-1,-0.118448,-0.881552
3021,32,1,1,0.708864,0.291136
3021,33,3,0,-0.340248,0.340248
3021,34,3,0,-0.254641,0.254641
3021,35,1,1,0.782115,0.217885
3021,36,3,0,-0.190573,0.190573
3021,37,3,1,-0.142624,1.142624
3021,38,1,1,0.836935,0.163065
3021,39,1,1,0.877963,0.122037
3021,40,1,1,0.908667,0.091333
3021,41,1,1,0.931647,0.068353
3021,42,1,1,0.948845,0.051155
3021,43,3,0,0.144862,-0.144862
3021,44,3,0,0.108415,-0.108415
3021,45,3,0,0.081137,-0.081137
3021,46,1,1,0.961715,0.038285
3021,47,1,1,0.971348,0.028652
3021,48,3,-1,0.060723,-1.060723
3021,49,3,0,-0.206157,0.206157
3021,50,1,1,0.978557,0.021443
3021,51,1,1,0.983952,0.016048
3021,52,1,1,0.987990,0.012010
3021,53,1,0,0.991012,-0.991012
3021,54,3,0,-0.154288,0.154288
3021,55,1,1,0.741671,0.258329
3021,56,1,1,0.806667,0.193333
3021,57,1,1,0.855310,0.144690
3021,58,1,1,0.891714,0.108286
3021,59,1,0,0.918959,-0.918959
3021,60,3,0,-0.115468,0.115468
3021,61,3,1,-0.086416,1.086416
3021,62,1,0,0.687747,-0.687747
3021,63,1,1,0.514709,0.485291
3021,64,1,0,0.636809,-0.636809
3021,65,3,0,0.186928,-0.186928
3021,66,1,1,0.476586,0.523414
3021,67,1,1,0.608278,0.391722
3021,68,3,0,0.139897,-0.139897
3021,69,3,0,0.104698,-0.104698
3021,70,3,-1,0.078356,-1.078356
3021,71,3,0,-0.192961,0.192961
3021,72,3,1,-0.144411,1.144411
3021,73,3,0,0.143525,-0.143525
3021,74,1,1,0.706836,0.293164
3021,75,3,0,0.107414,-0.107414
3021,76,1,1,0.780597,0.219403
3021,77,3,0,0.080388,-0.080388
3021,78,1,1,0.835799,0.164201
3021,79,1,1,0.877112,0.122888
3021,80,3,-1,0.060162,-1.060162
3021,81,1,1,0.908031,0.091969
3021,82,1,1,0.931171,0.068829
3021,83,1,1,0.948488,0.051512
3021,84,1,1,0.961449,0.038551
3021,85,3,0,-0.206577,0.206577
3021,86,3,0,-0.154602,0.154602
3021,87,3,0,-0.115703,0.115703
3021,88,1,1,0.971148,0.028852
3021,89,1,1,0.978407,0.021593
3021,90,3,0,-0.086592,0.086592
3021,91,3,-1,-0.064805,-0.935195
3021,92,1,1,0.983840,0.016160
3021,93,3,0,-0.300102,0.300102
3021,94,3,0,-0.224596,0.224596
3021,95,1,1,0.987906,0.012094
3021,96,3,0,-0.168087,0.168087
3021,97,3,0,-0.125796,0.125796
3021,98,1,1,0.990949,0.009051
3021,99,1,0,0.993226,-0.993226
3021,100,3,0,-0.094146,0.094146
