subject,trial,slotchoice,reward,ExpectedValue,RPE
3033,1,3,1,2.000000,-1.000000
3033,2,3,1,1.996506,-0.996506
3033,3,1,3,2.000000,1.000000
3033,4,1,3,2.003494,0.996506
3033,5,3,1,1.993024,-0.993024
3033,6,3,1,1.989554,-0.989554
3033,7,3,1,1.986097,-0.986097
3033,8,3,1,1.982651,-0.982651
3033,9,1,3,2.006976,0.993024
3033,10,1,3,2.010446,0.989554
3033,11,3,1,1.979217,-0.979217
3033,12,1,3,2.013903,0.986097
3033,13,1,3,2.017349,0.982651
3033,14,1,3,2.020783,0.979217
3033,15,3,-1,1.975796,-2.975796
3033,16,1,3,2.024204,0.975796
3033,17,1,3,2.027614,0.972386
3033,18,1,3,2.031011,0.968989
3033,19,1,3,2.034397,0.965603
3033,20,1,1,2.037771,-1.037771
3033,21,3,1,1.965398,-0.965398
3033,22,1,3,2.034145,0.965855
3033,23,3,1,1.962025,-0.962025
3033,24,1,1,2.037520,-1.037520
3033,25,3,1,1.958663,-0.958663
3033,26,3,1,1.955314,-0.955314
3033,27,3,1,1.951976,-0.951976
3033,28,3,-1,1.948649,-2.948649
3033,29,1,3,2.033894,0.966106
3033,30,3,3,1.938346,1.061654
3033,31,1,3,2.037270,0.962730
3033,32,3,-1,1.942056,-2.942056
3033,33,1,3,2.040634,0.959366
3033,34,3,1,1.931776,-0.931776
3033,35,1,1,2.043986,-1.043986
3033,36,1,1,2.040338,-1.040338
3033,37,3,1,1.928520,-0.928520
3033,38,3,1,1.925276,-0.925276
3033,39,3,1,1.922043,-0.922043
3033,40,3,1,1.918821,-0.918821
3033,41,1,3,2.036703,0.963297
3033,42,3,-1,1.915611,-2.915611
3033,43,1,3,2.040069,0.959931
3033,44,1,3,2.043423,0.956577
3033,45,1,3,2.046766,0.953234
3033,46,3,1,1.905423,-0.905423
3033,47,3,1,1.902259,-0.902259
3033,48,1,3,2.050096,0.949904
3033,49,1,3,2.053416,0.946584
3033,50,1,3,2.056723,0.943277
3033,51,1,1,2.060019,-1.060019
3033,52,1,3,2.056315,0.943685
3033,53,1,3,2.059613,0.940387
3033,54,3,3,1.899107,1.100893
3033,55,1,3,2.062898,0.937102
3033,56,3,1,1.902953,-0.902953
3033,57,3,1,1.899798,-0.899798
3033,58,3,1,1.896654,-0.896654
3033,59,1,3,2.066173,0.933827
3033,60,1,1,2.069436,-1.069436
3033,61,3,1,1.893521,-0.893521
3033,62,1,3,2.065699,0.934301
3033,63,3,1,1.890399,-0.890399
3033,64,1,1,2.068963,-1.068963
3033,65,3,1,1.887288,-0.887288
3033,66,3,1,1.884188,-0.884188
3033,67,3,1,1.881098,-0.881098
3033,68,3,1,1.878020,-0.878020
3033,69,1,3,2.065228,0.934772
3033,70,3,3,1.874952,1.125048
3033,71,3,1,1.878883,-0.878883
3033,72,3,1,1.875812,-0.875812
3033,73,3,-1,1.872752,-2.872752
3033,74,3,1,1.862714,-0.862714
3033,75,1,3,2.068495,0.931505
3033,76,1,3,2.071749,0.928251
3033,77,1,3,2.074993,0.925007
3033,78,1,3,2.078225,0.921775
3033,79,1,1,2.081446,-1.081446
3033,80,3,1,1.859699,-0.859699
3033,81,1,1,2.077667,-1.077667
3033,82,3,1,1.856696,-0.856696
3033,83,1,3,2.073902,0.926098
3033,84,1,3,2.077137,0.922863
3033,85,3,1,1.853702,-0.853702
3033,86,1,3,2.080362,0.919638
3033,87,3,1,1.850719,-0.850719
3033,88,3,1,1.847747,-0.847747
3033,89,1,3,2.083575,0.916425
3033,90,3,1,1.844785,-0.844785
3033,91,3,-1,1.841833,-2.841833
3033,92,3,1,1.831903,-0.831903
3033,93,3,3,1.828996,1.171004
3033,94,1,3,2.086777,0.913223
3033,95,3,1,1.833088,-0.833088
3033,96,1,3,2.089968,0.910032
3033,97,3,1,1.830177,-0.830177
3033,98,1,3,2.093148,0.906852
3033,99,1,1,2.096317,-1.096317
3033,100,1,3,2.092486,0.907514
