subject,trial,slotchoice,reward,ExpectedValue,RPE
4003,1,3,1,2.000000,-1.000000
4003,2,1,1,2.000000,-1.000000
4003,3,3,1,1.447593,-0.447593
4003,4,2,-1,2.000000,-3.000000
4003,5,3,-1,1.200339,-2.200339
4003,6,3,3,-0.015143,3.015143
4003,7,2,1,0.342779,0.657221
4003,8,3,3,1.650443,1.349557
4003,9,1,3,1.447593,1.552407
4003,10,1,3,2.305153,0.694847
4003,11,1,3,2.688992,0.311008
4003,12,3,1,2.395948,-1.395948
4003,13,1,3,2.860795,0.139205
4003,14,1,3,2.937693,0.062307
4003,15,3,1,1.624816,-0.624816
4003,16,3,1,1.279663,-0.279663
4003,17,3,1,1.125175,-0.125175
4003,18,1,3,2.972112,0.027888
4003,19,3,1,1.056028,-0.056028
4003,20,3,1,1.025078,-0.025078
4003,21,1,3,2.987517,0.012483
4003,22,1,1,2.994413,-1.994413
4003,23,3,1,1.011225,-0.011225
4003,24,1,3,1.892685,1.107315
4003,25,1,3,2.504374,0.495626
4003,26,1,3,2.778161,0.221839
4003,27,3,1,1.005024,-0.005024
4003,28,3,1,1.002249,-0.002249
4003,29,3,1,1.001007,-0.001007
4003,30,3,1,1.000451,-0.000451
4003,31,1,3,2.900706,0.099294
4003,32,3,1,1.000202,-0.000202
4003,33,3,1,1.000090,-0.000090
4003,34,1,3,2.955557,0.044443
4003,35,1,1,2.980108,-1.980108
4003,36,1,3,1.886282,1.113718
4003,37,3,1,1.000040,-0.000040
4003,38,1,3,2.501508,0.498492
4003,39,3,1,1.000018,-0.000018
4003,40,1,1,2.776878,-1.776878
4003,41,3,1,1.000008,-0.000008
4003,42,3,-1,1.000004,-2.000004
4003,43,3,1,-0.104812,1.104812
4003,44,1,3,1.795318,1.204682
4003,45,3,1,0.505494,0.494506
4003,46,3,1,0.778662,0.221338
4003,47,2,1,0.705832,0.294168
4003,48,3,1,0.900931,0.099069
4003,49,1,3,2.460793,0.539207
4003,50,1,3,2.758655,0.241345
4003,51,1,3,2.891976,0.108024
4003,52,1,3,2.951649,0.048351
4003,53,3,1,0.955657,0.044343
4003,54,3,3,0.980153,2.019847
4003,55,3,1,2.095930,-1.095930
4003,56,3,-1,1.490531,-2.490531
4003,57,3,1,0.114744,0.885256
4003,58,1,3,2.978358,0.021642
4003,59,3,1,0.603766,0.396234
4003,60,1,3,2.990313,0.009687
4003,61,1,1,2.995664,-1.995664
4003,62,3,1,0.822648,0.177352
4003,63,3,1,0.920619,0.079381
4003,64,1,3,1.893245,1.106755
4003,65,1,3,2.504624,0.495376
4003,66,1,3,2.778273,0.221727
4003,67,3,3,0.964469,2.035531
4003,68,1,3,2.900757,0.099243
4003,69,1,1,2.955579,-1.955579
4003,70,3,1,2.088911,-1.088911
4003,71,1,3,1.875304,1.124696
4003,72,1,3,2.496594,0.503406
4003,73,1,3,2.774679,0.225321
4003,74,1,3,2.899148,0.100852
4003,75,3,1,1.487389,-0.487389
4003,76,3,1,1.218152,-0.218152
4003,77,1,3,2.954859,0.045141
4003,78,1,3,2.979795,0.020205
4003,79,3,1,1.097643,-0.097643
4003,80,3,1,1.043704,-0.043704
4003,81,1,3,2.990957,0.009043
4003,82,3,1,1.019562,-0.019562
4003,83,1,3,2.995952,0.004048
4003,84,1,3,2.998188,0.001812
4003,85,3,1,1.008756,-0.008756
4003,86,3,1,1.003919,-0.003919
4003,87,3,1,1.001754,-0.001754
4003,88,1,3,2.999189,0.000811
4003,89,1,1,2.999637,-1.999637
4003,90,3,1,1.000785,-0.000785
4003,91,1,3,1.895024,1.104976
4003,92,3,1,1.000351,-0.000351
4003,93,1,3,2.505420,0.494580
4003,94,1,1,2.778630,-1.778630
4003,95,3,1,1.000157,-0.000157
4003,96,3,1,1.000070,-0.000070
4003,97,3,1,1.000032,-0.000032
4003,98,1,3,1.796102,1.203898
4003,99,1,1,2.461144,-1.461144
4003,100,3,1,1.000014,-0.000014
