subject,trial,slotchoice,reward,ExpectedValue,RPE
4016,1,3,0,0.000000,0.000000
4016,2,2,-1,0.000000,-1.000000
4016,3,1,1,0.000000,1.000000
4016,4,1,1,0.868311,0.131689
4016,5,3,-1,0.000000,-1.000000
4016,6,1,1,0.982658,0.017342
4016,7,3,0,-0.063139,0.063139
4016,8,3,0,-0.008315,0.008315
4016,9,1,0,0.997716,-0.997716
4016,10,1,1,0.934722,0.065278
4016,11,3,0,-0.001095,0.001095
4016,12,1,1,0.991404,0.008596
4016,13,3,-1,-0.000144,-0.999856
4016,14,3,0,-0.063274,0.063274
4016,15,3,1,-0.008332,1.008332
4016,16,3,0,0.867213,-0.867213
4016,17,3,0,0.812459,-0.812459
4016,18,3,0,0.761161,-0.761161
4016,19,3,0,0.713103,-0.713103
4016,20,1,1,0.998868,0.001132
4016,21,1,1,0.999851,0.000149
4016,22,3,0,0.668078,-0.668078
4016,23,3,0,0.625897,-0.625897
4016,24,1,1,0.999980,0.000020
4016,25,3,0,0.586379,-0.586379
4016,26,1,1,0.999997,0.000003
4016,27,3,0,0.549355,-0.549355
4016,28,1,1,1.000000,0.000000
4016,29,1,0,1.000000,-1.000000
4016,30,1,1,0.936861,0.063139
4016,31,3,0,0.514670,-0.514670
4016,32,1,0,0.991685,-0.991685
4016,33,3,-1,0.482174,-1.482174
4016,34,3,0,0.388592,-0.388592
4016,35,1,1,0.929072,0.070928
4016,36,3,0,0.364057,-0.364057
4016,37,3,1,0.341071,0.658929
4016,38,1,1,0.990659,0.009341
4016,39,1,1,0.998770,0.001230
4016,40,1,1,0.999838,0.000162
4016,41,1,0,0.999979,-0.999979
4016,42,1,1,0.936841,0.063159
4016,43,3,0,0.913226,-0.913226
4016,44,3,-1,0.855566,-1.855566
4016,45,3,0,0.738408,-0.738408
4016,46,1,1,0.991683,0.008317
4016,47,1,1,0.998905,0.001095
4016,48,3,0,0.691786,-0.691786
4016,49,3,1,0.648108,0.351892
4016,50,1,1,0.999856,0.000144
4016,51,1,1,0.999981,0.000019
4016,52,1,1,0.999997,0.000003
4016,53,1,1,1.000000,0.000000
4016,54,3,0,0.953660,-0.953660
4016,55,1,0,1.000000,-1.000000
4016,56,3,0,0.893447,-0.893447
4016,57,1,1,0.936861,0.063139
4016,58,1,1,0.991685,0.008315
4016,59,1,0,0.998905,-0.998905
4016,60,3,0,0.837036,-0.837036
4016,61,3,0,0.784187,-0.784187
4016,62,1,1,0.935836,0.064164
4016,63,1,1,0.991550,0.008450
4016,64,1,1,0.998887,0.001113
4016,65,3,0,0.734674,-0.734674
4016,66,1,0,0.999853,-0.999853
4016,67,1,1,0.936724,0.063276
4016,68,3,0,0.688288,-0.688288
4016,69,3,1,0.644830,0.355170
4016,70,3,-1,0.953228,-1.953228
4016,71,3,-1,0.829904,-1.829904
4016,72,3,0,0.714366,-0.714366
4016,73,3,0,0.669262,-0.669262
4016,74,1,1,0.991667,0.008333
4016,75,3,0,0.627006,-0.627006
4016,76,1,1,0.998903,0.001097
4016,77,3,0,0.587418,-0.587418
4016,78,1,1,0.999855,0.000145
4016,79,1,0,0.999981,-0.999981
4016,80,3,0,0.550329,-0.550329
4016,81,1,1,0.936844,0.063156
4016,82,1,1,0.991683,0.008317
4016,83,1,1,0.998905,0.001095
4016,84,1,1,0.999856,0.000144
4016,85,3,0,0.515582,-0.515582
4016,86,3,0,0.483029,-0.483029
4016,87,3,-1,0.452531,-1.452531
4016,88,1,1,0.999981,0.000019
4016,89,1,0,0.999997,-0.999997
4016,90,3,0,0.360820,-0.360820
4016,91,3,0,0.338039,-0.338039
4016,92,1,0,0.936859,-0.936859
4016,93,3,0,0.316696,-0.316696
4016,94,3,0,0.296700,-0.296700
4016,95,1,1,0.877707,0.122293
4016,96,3,0,0.277967,-0.277967
4016,97,3,0,0.260416,-0.260416
4016,98,1,1,0.983895,0.016105
4016,99,1,1,0.997879,0.002121
4016,100,3,0,0.243974,-0.243974
