subject,trial,slotchoice,reward,ExpectedValue,RPE
3011,1,1,1,0.000000,1.000000
3011,2,-99,-199,-99.000000,-99.000000
3011,3,1,1,0.738762,0.261238
3011,4,2,-3,0.000000,-3.000000
3011,5,1,1,0.931755,0.068245
3011,6,3,-1,0.000000,-1.000000
3011,7,3,-3,-0.775334,-2.224666
3011,8,1,1,0.982172,0.017828
3011,9,3,-1,-2.500194,1.500194
3011,10,3,-1,-1.391908,0.391908
3011,11,-99,-199,-99.000000,-99.000000
3011,12,3,-1,-1.102381,0.102381
3011,13,1,1,0.995343,0.004657
3011,14,3,-1,-1.026746,0.026746
3011,15,3,1,-1.006987,2.006987
3011,16,3,-1,0.475698,-1.475698
3011,17,-99,-199,-99.000000,-99.000000
3011,18,1,-1,0.998783,-1.998783
3011,19,1,1,-0.550942,1.550942
3011,20,3,-1,-0.668461,-0.331539
3011,21,3,-1,-0.925515,-0.074485
3011,22,3,-3,-0.983266,-2.016734
3011,23,-99,-199,-99.000000,-99.000000
3011,24,3,-1,-2.546909,1.546909
3011,25,1,1,0.594835,0.405165
3011,26,3,-1,-1.404112,0.404112
3011,27,1,1,0.894155,0.105845
3011,28,1,-1,0.972349,-1.972349
3011,29,2,-3,-2.326003,-0.673997
3011,30,3,-1,-1.105569,0.105569
3011,31,1,1,-0.556881,1.556881
3011,32,-99,-199,-99.000000,-99.000000
3011,33,1,1,0.593283,0.406717
3011,34,3,-1,-1.027579,0.027579
3011,35,1,1,0.893750,0.106250
3011,36,3,1,-1.007205,2.007205
3011,37,3,-1,0.475642,-1.475642
3011,38,3,-1,-0.668474,-0.331526
3011,39,1,1,0.972243,0.027757
3011,40,3,-1,-0.925517,-0.074483
3011,41,3,-1,-0.983266,-0.016734
3011,42,3,-1,-0.996241,-0.003759
3011,43,3,-1,-0.999155,-0.000845
3011,44,1,-1,0.992749,-1.992749
3011,45,3,-1,-0.999810,-0.000190
3011,46,-99,-199,-99.000000,-99.000000
3011,47,1,-1,-0.552298,-0.447702
3011,48,3,-1,-0.999957,-0.000043
3011,49,1,1,-0.899417,1.899417
3011,50,1,1,0.503800,0.496200
3011,51,3,-1,-0.999990,-0.000010
3011,52,3,-1,-0.999998,-0.000002
3011,53,1,1,0.870374,0.129626
3011,54,3,-3,-1.000000,-2.000000
3011,55,3,1,-2.550668,3.550668
3011,56,1,1,0.966137,0.033863
3011,57,1,1,0.991154,0.008846
3011,58,1,-1,0.997689,-1.997689
3011,59,3,-1,0.072430,-1.072430
3011,60,3,-1,-0.759062,-0.240938
3011,61,1,1,-0.551188,1.551188
3011,62,1,1,0.594771,0.405229
3011,63,1,1,0.894139,0.105861
3011,64,3,-1,-0.945869,-0.054131
3011,65,3,-1,-0.987839,-0.012161
3011,66,3,-1,-0.997268,-0.002732
3011,67,1,1,0.972345,0.027655
3011,68,1,1,0.992775,0.007225
3011,69,1,1,0.998113,0.001887
3011,70,-99,-199,-99.000000,-99.000000
3011,71,3,-3,-0.999386,-2.000614
3011,72,3,-1,-2.550531,1.550531
3011,73,1,1,0.999507,0.000493
3011,74,3,-1,-1.405058,0.405058
3011,75,3,-1,-1.105817,0.105817
3011,76,1,-1,0.999871,-1.999871
3011,77,-99,-199,-99.000000,-99.000000
3011,78,3,-1,-1.027643,0.027643
3011,79,3,1,-1.007221,2.007221
3011,80,3,-1,0.475637,-1.475637
3011,81,3,-3,-0.668475,-2.331525
3011,82,1,-1,-0.550697,-0.449303
3011,83,1,1,-0.899057,1.899057
3011,84,3,-1,-2.476186,1.476186
3011,85,3,-1,-1.385636,0.385636
3011,86,3,-1,-1.100743,0.100743
3011,87,3,-1,-1.026318,0.026318
3011,88,1,1,0.503894,0.496106
3011,89,-99,-199,-99.000000,-99.000000
3011,90,1,1,0.870398,0.129602
3011,91,3,-3,-1.006875,-1.993125
3011,92,1,1,0.966143,0.033857
3011,93,1,1,0.991155,0.008845
3011,94,1,-1,0.997689,-1.997689
3011,95,1,1,-0.551188,1.551188
3011,96,3,-1,-2.552213,1.552213
3011,97,1,-1,0.594771,-1.594771
3011,98,3,-1,-1.405497,0.405497
3011,99,3,-1,-1.105931,0.105931
3011,100,1,1,-0.641710,1.641710
